Titolo;Tipologia accordo;Settore;Contraenti;Data stipula;Data decorrenza;Data scadenza economica;Data scadenza contrattuale;Categoria
"Verbale di accordo di proroga al 31/12/2020 della validità del CCNL per i dipendenti di aziende editrici e stampatrici di giornali quotidiani ed agenzie di stampa";"Verbale integrativo";"Poligrafici e Spettacolo";"FIEG; ASIG; SLC CGIL; FISTEL CISL; UILCOM UIL";"14/01/2020";"";"";"31/12/2020";"GIORNALI E QUOTIDIANI: Operai e Impiegati"
"Verbale di Accordo per il rinnovo del CCNL Legno, Sughero, Mobile ed Arredamento e Boschivi e Forestali";"Accordo di rinnovo";"Edilizia";"FEDERLEGNOARREDO; FENEAL UIL; FILCA CISL; FILLEA CGIL";"19/10/2020";"01/04/2019";"";"31/12/2022";"LEGNO, ARREDAMENTO: Industrie"
"Ipotesi di verbale di accordo per il rinnovo del CCNL lavoratori dei porti";"Accordo di rinnovo";"Trasporti";"ASSITERMINAL; ASSOLOGISTICA; FISE UNIPORT; ASSOPORTI; FILT CGIL; FIT CISL; UILTRASPORTI";"24/02/2021";"";"";"31/12/2023";"PORTUALI: Lavoratori dei Porti"
"CCNL per i dipendenti delle aziende del COMMERCIO, DISTRIBUZIONE E SERVIZI";"Testo definitivo";"Commercio";"CONFIMPRESA; CNL";"01/03/2021";"01/04/2021";"";"31/03/2024";"COMMERCIO, DISTRIBUZIONE E SERVIZI (CONFIMPRESA-CNL)"
"CCNL per i dipendenti delle aziende per la lavorazione e distribuzione di ortofrutta ed agrumarie e loro derivati semilavorati";"Testo definitivo";"Commercio";"CONAPI; ITALPMI; ACAI PMI; FESICA CONFSAL; CONFSAL";"18/02/2021";"01/02/2021";"";"31/01/2024";"ORTOFRUTTA E AGRUMARIE (CONAPI)"
"Ipotesi di accordo per il rinnovo del CCNL 9 luglio 2018";"Accordo di rinnovo";"Poligrafici e Spettacolo";"CONFAPI; UNIGEC CONFAPI; UNIMATICA CONFAPI; FISTEL CISL; SLC CGIL; UILCOM UIL";"09/03/2021";"01/01/2020";"";"31/12/2023";"COMUNICAZIONE, INFORMATICA E SERVIZI INNOVATIVI: P.M.I."
"CCNL per i dipendenti delle aziende piccole e medie imprese (PMI), delle società cooperative e delle aziende artigiane del settore abrasivi";"Testo definitivo";"Chimici";"CEPA A CHIMICA; CEPA A; ESAARCO; FENAPI; ALI CONFSAL; SIA CONFSAL; CONFSAL; CIU; FENAL SCUOLA CGS; ONAPS";"27/01/2021";"27/01/2021";"";"26/01/2024";"ABRASIVI: PMI, Cooperative, Artigiane"
"CCNL per i dipendenti delle aziende piccole e medie imprese (PMI), delle società cooperative e delle aziende artigiane del settore ceramica";"Testo definitivo";"Chimici";"CEPA A CHIMICA; CEPA A; ESAARCO; FENAPI; ALI CONFSAL; SIA CONFSAL; CONFSAL; CIU; FENAL SCUOLA CGS; ONAPS";"27/01/2021";"27/01/2021";"";"26/01/2024";"CERAMICA: PMI, Cooperative, Artigiane"
"CCNL per i dipendenti delle aziende piccole e medie imprese (PMI), delle società cooperative e delle aziende artigiane del settore chimica ed affini";"Testo definitivo";"Chimici";"CEPA A CHIMICA; CEPA A; ESAARCO; FENAPI; ALI CONFSAL; SIA CONFSAL; CONFSAL; CIU; FENAL SCUOLA CGS; ONAPS";"27/01/2021";"27/01/2021";"";"26/01/2024";"CHIMICA ED AFFINI: PMI, Cooperative, Artigiane"
"CCNL per i dipendenti delle aziende piccole e medie imprese (PMI), delle società cooperative e delle aziende artigiane del settore concia ed accorpati";"Testo definitivo";"Chimici";"CEPA A CHIMICA; CEPA A; ESAARCO; FENAPI; ALI CONFSAL; SIA CONFSAL; CONFSAL; CIU; FENAL SCUOLA CGS; ONAPS";"27/01/2021";"27/01/2021";"";"26/01/2024";"CONCIA ED ACCORPATI: PMI, Cooperative, Artigiane"
"CCNL per i dipendenti delle aziende piccole e medie imprese (PMI), delle società cooperative e delle aziende artigiane del settore plastica e gomma";"Testo definitivo";"Chimici";"CEPA A CHIMICA; CEPA A; ESAARCO; FENAPI; ALI CONFSAL; SIA CONFSAL; CIU; FENAL SCUOLA CGS; ONAPS";"27/01/2021";"27/01/2021";"";"26/01/2024";"PLASTICA E GOMMA: PMI, Cooperative, Artigiane"
"CCNL per i dipendenti delle aziende piccole e medie imprese (PMI), delle società cooperative e delle aziende artigiane del settore vetro";"Testo definitivo";"Chimici";"CEPA A CHIMICA; CEPA A; ESAARCO; FENAPI; ALI CONFSAL; SIA CONFSAL; CONFSAL; CIU; FENAL SCUOLA CGS; ONAPS";"27/01/2021";"27/01/2021";"";"26/01/2024";"VETRO: PMI, Cooperative, Artigiane"
"CNL per il personale dipendente delle strutture sanitarie private";"Testo definitivo";"Enti e Istituzioni Private";"CEPA A SANITA'; CEPA A; ESAARCO; FENAPI; ALI CONFSAL; SIA CONFSAL; CONFSAL; CIU; FENALS; ONAPS";"27/01/2021";"27/01/2021";"";"26/01/2024";"STRUTTURE SANITARIE PRIVATE: Personale Dipendente"
"CCNL per il personale non medico delle strutture e cooperative socio sanitarie e assistenziali";"Testo definitivo";"Enti e Istituzioni Private";"CEPA A SANITA'; CEPA A; ESAARCO; FENAPI; ALI CONFSAL; SIA CONFSAL; CONFSAL; CIU; FENALS; ONAPS";"27/01/2021";"27/01/2021";"";"26/01/2024";"STRUTTURE E COOPERATIVE SOCIO SANITARIE E ASSISTENZIALI: Personale non medico"
"CCNL per i lavoratori impegnati nel settore di edilizia e affini";"Testo definitivo";"Edilizia";"AIESIL; CONFASI";"29/03/2021";"29/03/2021";"";"28/03/2024";"EDILI: lavoratori impegnati nel settore Edilizia e affini"
"CCNL addetti Guardiania e Portierato";"Accordo di rinnovo";"Commercio";"SIDA; Sindacato SLI";"27/03/2021";"01/04/2021";"";"31/03/2022";"GUARDIANIA E PORTIERATO"
"Verbale di accordo di rinnovo del CCNL del 16/2/2013 Domestici - Colf e badanti - conviventi e non conviventi";"Accordo di rinnovo";"Commercio";"Sindacato SLI; SIDA";"26/02/2020";"01/03/2020";"";"28/02/2022";"Domestici - Colf e Badanti - conviventi e non conviventi"
"Verbale di accordo per il rinnovo del CCNL Commercio e Terziario";"Accordo di rinnovo";"Commercio";"SIDA; Sindacato SLI";"21/12/2020";"01/01/2021";"";"31/12/2022";"COMMERCIO E TERZIARIO (aziende con massimo 30 dipendenti)"
"Verbale di Accordo per il rinnovo del CCNL Legno, Sughero, Mobile ed Arredamento e Boschivi e Forestali";"Accordo di rinnovo";"Edilizia";"FEDERLEGNOARREDO; FENEAL UIL; FILCA CISL; FILLEA CGIL";"19/10/2020";"01/04/2019";"";"31/12/2022";"LEGNO, ARREDAMENTO: Industrie"
"Accordo di rinnovo del CCNL PER I DIPENDENTI DEL TERZIARIO: COMMERCIO, DISTRIBUZIONE E SERVIZI del 1° luglio 2013";"Accordo di rinnovo";"Commercio";"SISTEMA IMPRESA; FESICA CONFSAL; CONFSAL";"21/12/2020";"01/05/2020";"";"30/04/2023";"DIPENDENTI DEL TERZIARIO: COMMERCIO, DISTRIBUZIONE E SERVIZI (SCI-CONFSAL)"
"Accordo di rinnovo del CCNL per i soci e i dipendenti delle cooperative esercenti attività prevalente nel settore autotrasporto, spedizione merci, logistica e facchinaggio";"Accordo di rinnovo";"Trasporti";"UNICOOP; UGL Viabilita' e Logistica; UGL";"01/04/2021";"01/04/2021";"";"31/03/2024";"AUTOTRASPORTO, SPEDIZIONE MERCI, LOGISTICA E FACCHINAGGIO (UNICOOP-UGL)"
"CCNL Ortofrutticoli ed Agrumari";"Testo definitivo";"Commercio";"CONFLAVORO PMI; FESICA CONFSAL; CONFSAL";"29/03/2021";"01/03/2021";"";"29/02/2024";"ORTOFRUTTICOLI ED AGRUMARI (CONFLAVORO PMI)"
"Accordo interconfederale nazionale per l'integrazione del CCNL per i dirigenti, quadri di direzione, quadri e ricercatori sottoscritto in data 3 febbraio 2021";"Verbale integrativo";"Altri Vari";"FENAPI; IMPRESE ITALIA FENAPI; CIU; SEAL; ALI";"25/03/2021";"";"";"30/12/2023";"DIRIGENTI e QUADRI (FENAPI)"
"CCNL per i dipendenti della piccola e media industria dei settori Chimica, Concia e settori accorpati, Plastica e Gomma, Abrasivi, Ceramica e Vetro";"Testo definitivo";"Chimici";"CNL; CNL Federazione Nazionale Chimica-Metalmeccanica; FILD";"05/07/2019";"05/07/2019";"";"04/07/2022";"CHIMICA: PMI (CNL)"
"CCNL per i dipendenti delle PMI  e Imprese ARTIGIANE del settore edilizia ed affini";"Testo definitivo";"Edilizia";"CONFIMPRESA; CNL";"02/04/2021";"01/05/2021";"";"30/04/2024";"EDILI: aziende artigiane e PMI - CONFIMPRESA-CNL"
"CCNL per i dipendenti delle aziende per la lavorazione e distribuzione di ortofrutta ed agrumarie e loro derivati semilavorati";"Testo definitivo";"Commercio";"UNIMPRESA; FESICA CONFSAL; CONFSAL";"30/03/2021";"01/03/2021";"";"29/02/2024";"ORTOFRUTTA ED AGRUMARIE E LORO DERIVATI (UNIMPRESA)"
"CCNL per i dipendenti delle associazioni ed altre organizzazioni del terzo settore";"Testo definitivo";"Enti e Istituzioni Private";"UNCI; FESICA CONFSAL; CONFSAL";"09/04/2021";"01/04/2021";"";"31/03/2024";"ASSOCIAZIONI ED ALTRE ORGANIZZAZIONI DEL TERZO SETTORE (UNCI)"
"CCNL per i lavoratori agricoli";"Testo definitivo";"Agricoltura";"CONFUNISCO; UPI; UNAGRI; FUTURO AGRICOLTURA; ANCORS; MONDO AGRICOLO; SNALPE; LABOR; ASSOCOLF; FISALP CONFSAL";"01/03/2021";"20/02/2021";"";"20/02/2025";"LAVORATORI AGRICOLI (CONFUNISCO)"
"CCNL per i dipendenti delle strutture ed enti di formazione";"Testo definitivo";"Enti e Istituzioni Private";"UNCI; FESICA CONFSAL; CONFSAL";"14/12/2020";"01/12/2020";"";"30/11/2023";"STRUTTURE ED ENTI DI FORMAZIONE (UNCI)"
"CCNL per i dipendenti delle strutture ed enti di formazione";"Testo definitivo";"Enti e Istituzioni Private";"ADI; FESICA CONFSAL; CONFSAL";"14/12/2020";"01/12/2020";"";"30/11/2023";"STRUTTURE ED ENTI DI FORMAZIONE (ADI)"
"Verbale di errata corrige - CCNL per i soci e i dipendenti delle cooperative esercenti attività prevalente nel settore autotrasporto, spedizione merci, logistica e facchinaggio";"Verbale integrativo";"Trasporti";"UNICOOP; UGL Viabilita' e Logistica";"01/04/2021";"";"";"";"AUTOTRASPORTO, SPEDIZIONE MERCI, LOGISTICA E FACCHINAGGIO (UNICOOP-UGL)"
"Verbale di accordo per il rinnovo del CCNL per il personale non imbarcato dipendente da cooperative esercenti attività di pesca marittima, attività di maricoltura, acquacoltura e vallicoltura";"Accordo di rinnovo";"Alimentaristi - Agroindustriale";"ACGI AGRITAL; CONFCOOPERATIVE FEDAGRIPESCA; LEGACOOP Agroalimentare; FAI CISL; FLAI CGIL; UILAPESCA";"03/05/2021";"";"";"31/12/2021";"PESCA: Cooperative"
"CCNL per le imprese professionali di trasporto viaggiatori a capitale privato che esercitano la loro esclusiva, o prevalente, attività sul mercato liberalizzato dei servizi regolari di linea e di noleggio con autovetture";"Testo definitivo";"Trasporti";"SISTEMA TRASPORTI; SISTEMA IMPRESA; FESICA CONFSAL; CONFSAL";"22/04/2021";"01/01/2021";"";"31/12/2023";"TRASPORTO VIAGGIATORI A CAPITALE PRIVATO"
"Verbale di riunione - Integrazione al Protocollo condiviso del 28 aprile 2020, e successive integrazioni, recante "Misure di prevenzione, contrasto e contenimento della diffusione del virus Covid-19 per garantire l’erogazione dei servizi del settore bancario"";"Verbale integrativo";"Credito Assicurazioni";"ABI; FABI; FIRST CISL; FISAC CGIL; UILCA; UNISIN FALCRI SILCEA SINFUB";"21/12/2020";"";"";"";"BANCARI: ABI (Dirigenti)"
"Verbale di riunione - Avvio di una fase sperimentale di svolgimento delle assemblee "in remoto"";"Verbale integrativo";"Credito Assicurazioni";"ABI; FABI; FIRST CISL; FISAC CGIL; UILCA; UNISIN FALCRI SILCEA SINFUB";"21/12/2020";"";"";"";"BANCARI: ABI (Dirigenti)"
"Verbale di riunione - Integrazione al Protocollo condiviso del 28 aprile 2020, e successive integrazioni, recante "Misure di prevenzione, contrasto e contenimento della diffusione del virus Covid-19 per garantire l’erogazione dei servizi del settore bancario"";"Verbale integrativo";"Credito Assicurazioni";"ABI; FABI; FIRST CISL; FISAC CGIL; UILCA; UNISIN FALCRI SILCEA SINFUB";"17/03/2021";"";"";"";"BANCARI: ABI (Dirigenti)"
"Verbale di riunione - Integrazione al Protocollo condiviso del 28 aprile 2020, e successive integrazioni, recante "Misure di prevenzione, contrasto e contenimento della diffusione del virus Covid-19 per garantire l’erogazione dei servizi del settore bancario"";"Verbale integrativo";"Credito Assicurazioni";"ABI; FABI; FIRST CISL; FISAC CGIL; UILCA; UNISIN FALCRI SILCEA SINFUB";"30/04/2021";"";"";"";"BANCARI: ABI (Dirigenti)"
"CCNL per il personale non medico dipendente dagli istituti sanitari privati";"Testo definitivo";"Enti e Istituzioni Private";"UNILAVORO PMI; CONFSAL FISALS";"21/12/2020";"10/05/2021";"";"09/05/2026";"ISTITUTI SANITARI PRIVATI: personale non medico (UNILAVORO PMI)"
"CCNL per attività sport e salute, impianti sportivi, fitness, palestre e piscine";"Testo definitivo";"Commercio";"FMPI; CNAL; CNAL FSSI";"19/05/2021";"19/05/2021";"";"31/12/2023";"SPORT E SALUTE, IMPIANTI SPORTIVI, FITNESS, PALESTRE E PISCINE (FMPI-CNAL)"
"CCNL per i dipendenti da aziende esercenti attività del settore e per i dipendenti e soci lavoratori da cooperative esercenti attività di CHIMICA";"Testo definitivo";"Chimici";"UNILAVORO PMI; UNIPEL; CONFSAL FISALS";"16/12/2020";"14/06/2021";"";"13/06/2026";"CHIMICA (UNILAVORO PMI)"
"CCNL per i lavoratori della Fondazione Dynamo Camp Onlus";"Testo definitivo";"Enti e Istituzioni Private";"Fondazione Dynamo Camp Onlus; UIL FPL";"18/05/2021";"01/01/2021";"";"31/12/2023";"Associazione Dynamo Camp Onlus"
"CCNL per le attività minerarie";"Testo definitivo";"Chimici";"UNILAVORO PMI; CONFSAL FISALS";"18/12/2020";"28/05/2021";"";"27/05/2026";"ATTIVITA' MINERARIE (UNILAVORO PMI)"
"Verbale d'intesa - Accordo Nazionale di secondo livello Settore Marketing Operativo";"Verbale integrativo";"Commercio";"ANASFIM CONFESERCENTI; CONFESERCENTI; FISASCAT CISL; UILTUCS UIL";"30/12/2020";"";"";"";"TERZIARIO, DISTRIBUZIONE E SERVIZI (CONFESERCENTI)"
"Accordo Nazionale di secondo livello Settore Marketing Operativo - Proroga del termine di cui all'Accordo 30 dicembre 2020";"Verbale integrativo";"Commercio";"ANASFIM CONFESERCENTI; CONFESERCENTI; FISASCAT CISL; UILTUCS UIL";"30/03/2021";"";"";"";"TERZIARIO, DISTRIBUZIONE E SERVIZI (CONFESERCENTI)"
"Verbale di accordo per il rinnovo del CCNL per i lavoratori della piccola e media industria del legno, del sughero, del mobile e dell'arredamento, e per le industrie boschive e forestali, scaduto il 31 maggio 2019";"Accordo di rinnovo";"Edilizia";"CONFAPI; UNITAL CONFAPI; FENEAL UIL; FILCA CISL; FILLEA CGIL";"31/05/2021";"01/06/2019";"";"28/02/2023";"LEGNO, ARREDAMENTO: P.M.I."
"CCNL per i dipendenti delle piccole e medie imprese esercenti attività nel Settore dei "Servizi"";"Testo definitivo";"Commercio";"CONFIMPRESAITALIA; CONFSAL";"10/06/2021";"01/07/2021";"";"30/06/2024";"SERVIZI: PMI (CONFIMPRESAITALIA)"
"Ipotesi di rinnovo del CCNL per il personale non dirigente di Poste Italiane";"Accordo di rinnovo";"Aziende di Servizi";"POSTE ITALIANE SPA; SLC CGIL; SLP CISL; UILPOSTE; FAILP CISAL; CONFSAL COMUNICAZIONI; FNC UGL COMUNICAZIONI";"23/06/2021";"01/01/2021";"";"31/12/2023";"ENTE POSTE ITALIANE (Poste Italiane spa)"
"CCNL per commercio, distribuzione, servizi, turismo e pubblici esercizi";"Testo definitivo";"Commercio";"FEDERPARTITEIVA; FID";"21/06/2021";"01/10/2020";"";"30/09/2023";"COMMERCIO, DISTRIBUZIONE, SERVIZI, TURISMO E PUBBLICI ESERCIZI (FederPartiteIva)"
"CCNL per i dipendenti delle imprese e delle cooperative del settore pesca ed attività connesse";"Testo definitivo";"Alimentaristi - Agroindustriale";"COOPITALIANE; IMPRESA ITALIA; ASOSA; FAMAR; CONFAMAR";"01/06/2021";"01/06/2021";"";"31/05/2024";"PESCA E ATTIVITA' CONNESSE (COOPITALIANE)"
"Verbale Task Force";"Verbale integrativo";"Trasporti";"ASSTRA; ANAV; AGENS; FILT CGIL; FIT CISL; UILTRASPORTI UIL; FAISA CISAL; UGL FNA";"22/01/2021";"";"";"";"AUTOFERROTRANVIERI"
"CCNL per i dipendenti delle imprese commerciali e dei servizi";"Testo definitivo";"Commercio";"AICAST; ASSIMPRESE ITALIA; ATECA; ANEAS; ASSO PRO; FIADEL SP";"29/03/2021";"01/04/2021";"30/03/2024";"30/03/2025";"COMMERCIO E SERVIZI (ATECA)"
"CCNL per i lavoratori dipendenti delle aziende che svolgono attività nel settore del Turismo";"Testo definitivo";"Commercio";"AICAST; ASSIMPRESE ITALIA; ATECA; ANEAS; ASSO PRO; FIADEL SP";"29/03/2021";"01/04/2021";"30/03/2024";"30/03/2025";"TURISMO (ATECA)"
"CCNL per i dipendenti di aziende artigiane di parrucchieri, barbieri ed estetisti";"Testo definitivo";"Commercio";"AICAST; ASSIMPRESE ITALIA; ATECA; ANEAS; ASSO PRO; FIADEL SP";"29/03/2021";"01/04/2021";"30/03/2023";"30/03/2025";"Aziende Artigiane di Parrucchieri, Barbieri ed Estetisti (ATECA)"
"Ipotesi di Verbale di accordo per il rinnovo del CCNL per i lavoratori dipendenti della piccola e media industria alimentare scaduto il 30 giugno 2020";"Accordo di rinnovo";"Alimentaristi - Agroindustriale";"CONFAPI; UNIONALIMENTARI CONFAPI; FAI CISL; FLAI CGIL; UILA UIL";"12/07/2021";"01/07/2020";"";"31/10/2024";"ALIMENTARISTI: P.M.I."
"CCNL per i lavoratori dipendenti della piccola e media industria alimentare";"Testo definitivo";"Alimentaristi - Agroindustriale";"UNIONALIMENTARI CONFAPI; CONFAPI; FAI CISL; FLAI CGIL; UILA UIL";"16/09/2016";"01/07/2016";"";"30/06/2020";"ALIMENTARISTI: P.M.I."
"Stesura del CCNL 16 settembre 2020 per gli addetti all'industria della gomma, cavi elettrici ed affini e all'industria delle materie plastiche";"Testo definitivo";"Chimici";"FEDERAZIONE GOMMA E PLASTICA; FILCTEM CGIL; FEMCA CISL; UILTEC UIL";"12/04/2021";"01/07/2019";"";"31/12/2022";"GOMMA E PLASTICA: Industrie"
"Stesura del CCNL 16 settembre 2020 per gli addetti all'industria della gomma, cavi elettrici ed affini e all'industria delle materie plastiche";"Testo definitivo";"Chimici";"FEDERAZIONE GOMMA E PLASTICA; UGL CHIMICI";"12/04/2021";"01/07/2019";"";"31/12/2022";"GOMMA E PLASTICA: Industrie"
"Stesura del CCNL 16 settembre 2020 per gli addetti all'industria della gomma, cavi elettrici ed affini e all'industria delle materie plastiche";"Testo definitivo";"Chimici";"FEDERAZIONE GOMMA E PLASTICA; FAILC CONFAIL";"12/04/2021";"01/07/2019";"";"31/12/2022";"GOMMA E PLASTICA: Industrie"
"Ipotesi di accordo per il rinnovo del CCNL per i dipendenti delle aziende esercenti l'industria della carta, della cellulosa, pasta legno, fibra vulcanizzata e presfibra e per le aziende cartotecniche e della trasformazione della carta e del cartone del 30 novembre 2016";"Accordo di rinnovo";"Poligrafici e Spettacolo";"ASSOCARTA; ASSOGRAFICI; SLC CGIL; FISTEL CISL; UILCOM UIL; UGL CARTA E STAMPA";"28/07/2021";"01/01/2022";"";"31/12/2024";"CARTARIE E CARTOTECNICHE: Industrie"
"CCNL 2019-2021 per il personale non dirigente della Fondazione Policlinico Universitario "Agostino Gemelli" IRCCS";"Testo definitivo";"Enti e Istituzioni Private";"Fondazione Policlinico Universitario Agostino Gemelli IRCCS; FP CGIL; CISL FP; UIL FPL; CISAS; COINA; CONFSAL CISAPUNI; FARESS; FIALS; UGL SALUTE";"12/04/2021";"01/07/2021";"";"31/12/2021";"Fondazione Policlinico Universitario Agostino Gemelli IRCCS: personale non dirigente"
"CCNL 2020-2022 per la dirigenza amministrativa e delle professioni sanitarie della Fondazione Policlinico Universitario "Agostino Gemelli" IRCCS";"Testo definitivo";"Enti e Istituzioni Private";"Fondazione Policlinico Universitario Agostino Gemelli IRCCS; FP CGIL Dirigenti; CISL FP Dirigenti; UIL FPL Dirigenti";"11/06/2021";"01/07/2021";"";"31/12/2022";"Fondazione Policlinico Universitario Agostino Gemelli IRCCS: personale della dirigenza amministrativa"
"CCNL 2020-2022 per la dirigenza del ruolo sanitario della Fondazione Policlinico Universitario "Agostino Gemelli" IRCCS";"Testo definitivo";"Enti e Istituzioni Private";"Fondazione Policlinico Universitario Agostino Gemelli IRCCS; ANAAO ASSOMED; FASSID Area SINAFO; UIL FPL Dirigenti";"25/05/2021";"01/07/2021";"";"31/12/2022";"Fondazione Policlinico Universitario Agostino Gemelli IRCCS: personale della dirigenza sanitaria"
"CCNL disciplinante i rapporti di lavoro domestico";"Testo definitivo";"Commercio";"UNSIC; UNSICOLF; ASNALI; ASNALI COLF; CONFSAL; CISA; CONFIAL; SNALV CONFSAL";"25/05/2021";"01/07/2021";"";"30/06/2024";"LAVORO DOMESTICO (UNSIC-ASNALI)"
"Verbale di adesione al CCNL sulla disciplina del rapporto di lavoro domestico";"Verbale integrativo";"Commercio";"ANAP; FILDA";"01/07/2021";"";"";"";"LAVORO DOMESTICO (ANAP - SELP - LIBERO SINDACATO COLF E BADANTI)"
"CCNL per i dipendenti delle aziende operanti nel settore ICT (Information and Communication Technologies)";"Testo definitivo";"Commercio";"CIFA; CONFSAL";"21/07/2021";"21/07/2021";"";"20/06/2024";"Settore ICT"
"CCNL per le imprese della filiera turistico ricettiva in outsourcing";"Testo definitivo";"Commercio";"AISAT; UGL TERZIARIO; UGL";"06/08/2021";"20/12/2020";"";"31/12/2024";"FILIERA TURISTICO RICETTIVA IN OUTSOURCING"
"Accordo per la regolazione del rapporto di lavoro dei dirigenti delle Autorità di Sistema Portuale";"Accordo di rinnovo";"Trasporti";"ASSOPORTI; FEDERMANAGER";"29/07/2021";"01/01/2019";"";"31/12/2023";"PORTUALI: Dirigenti Autorità di Sistema Portuale"
"Verbale di accordo per il rinnovo del CCNL del personale dirigente dell'ANAS SpA";"Accordo di rinnovo";"Enti e Istituzioni Private";"ANAS SPA; FEDERMANAGER";"05/08/2020";"01/07/2020";"";"31/12/2022";"ANAS: Dirigenti (Ente Nazionale per le Strade)"
"Contratto collettivo nazionale di lavoro per il personale dirigente degli enti previdenziali privatizzati";"Testo definitivo";"Enti e Istituzioni Private";"ADEPP; ASDEPP FEDERMANAGER; CGIL FP; CISL FP; UIL PA; CISAL FIALP; UGL TERZIARIO; CIDA SINDEPP";"12/02/2020";"01/01/2019";"";"31/12/2021";"ENTI PREVIDENZIALI PRIVATIZZATI: Dirigenti"
"CCNL per i dirigenti, quadri, impiegati e operai dipendenti del settore Concia Pelli e Cuoio";"Testo definitivo";"Chimici";"FEDERCONCIA Italia; CONFIAL; (sottoscritto il 06/12/2021 da UNSIC; FEDERDAT; FISMIC CONFSAL; FLAITS)";"31/08/2021";"01/09/2021";"";"31/08/2024";"CONCIA PELLI E CUOIO"
"CCNL per i dipendentidelle imprese di autotrasporto merci, logistica e spedizioni";"Testo definitivo";"Trasporti";"FEDERTERZIARIO; FEDERTERZIARIO Logistica e Servizi; UGL Viabilità e Logistica; UGL; ANCL";"19/07/2021";"19/07/2021";"";"18/07/2024";"LOGISTICA, TRASPORTO MERCI E SPEDIZIONE (FEDERTERZIARIO)"
"CCNL per i dipendenti dei Consulenti Tributari e Tributaristi, Studi Professionali e Centri di Elaborazione Dati";"Testo definitivo";"Commercio";"ANCOT; ALIM; ANAP; AEPI; SELP";"30/09/2021";"01/10/2021";"";"30/09/2024";"Studi Professionali, Centri Elaborazione Dati, Consulenti Tributari e Tributaristi"
"CCNL per i dipendenti delle Piccole e Medie Imprese metalmeccaniche e di installazione di impianti";"Testo definitivo";"Meccanici";"CNL; CONFSAL; FILD CONFSAL";"12/07/2021";"01/07/2021";"";"30/06/2023";"METALMECCANICA: P.M.I. (CNL)"
"CCNL Moda artigianato - Pelletteria, Calzaturiero, Tessile e Abbigliamento ed Affini, Chimica e Ceramica";"Testo definitivo";"Altri Vari";"CNL; CONFSAL; FILD CONFSAL";"08/07/2021";"08/07/2021";"";"31/12/2023";"MODA ARTIGIANATO - PELLETTERIA, CALZATURIERO, TESSILE E ABBIGLIAMENTO ED AFFINI, CHIMICA, CERAMICA"
"CCNL INTERSETTORIALE - Commercio, Terziario, Distribuzione, Servizi, Pubblici Esercizi e Turismo";"Testo definitivo";"Commercio";"CNL; CONFSAL; FILD CONFSAL";"08/07/2021";"08/07/2021";"";"31/05/2023";"INTERSETTORIALE: Commercio, Terziario, Distribuzione, Servizi, Pubblici Esercizi e Turismo (CNL)"
"CCNL per addetti all'industria Metalmeccanica privata e alla Installazione di Impianti ed alle Telecomunicazioni";"Testo definitivo";"Meccanici";"ANAP; AEPI (AISP; ANCOT; ANDMI; ASSIDAL; ASS PRO COM; FEDERLIBERI; FENAPI; OBIETTIVO PUGLIA; PRIMA ASSOCIAZIONE; UCI; UNIONLIBERI); SLE; CIU; CSE; CSE FNILM; FIRAS SPP; FLAI TS; CLAS; UIC";"13/09/2021";"13/09/2021";"";"12/09/2024";"METALMECCANICA, INSTALLAZIONE DI IMPIANTI E TELECOMUNICAZIONI"
"CCNL 16 ottobre 2019 per i dirigenti delle Imprese dei Servizi di Pubblica utilità";"Testo definitivo";"Altri Vari";"CONFSERVIZI (ASSTRA; UTILITALIA); FEDERMANAGER";"17/06/2020";"01/01/2019";"";"31/12/2023";"DIRIGENTI: Imprese Pubbliche Locali"
"CCNL per i lavoratori delle piccole e medie imprese, centri di servizi e consorzi, aziende municipalizzate, strutture assistenziali e socio sanitarie, esercenti attività alla persona, attività cimiteriali, attività funebri e di polizia mortuaria, onoranze funebri";"Testo definitivo";"Trasporti";"FMPI; CONFASI";"05/10/2021";"05/10/2021";"";"31/12/2023";"ATTIVITA' CIMITERIALI, ATTIVITA' FUNEBRI E DI POLIZIA MORTUARIA, ONORANZE FUNEBRI"
"CCNL Aziende di Call Center";"Testo definitivo";"Commercio";"CONFLAVORO PMI; FESICA CONFSAL; CONFSAL";"20/09/2021";"01/10/2021";"";"30/09/2024";"AZIENDE DI CALL CENTER"
"Ipotesi di accordo per il rinnovo del CCNL per il personale dipendente da imprese esercenti servizi di pulizia e servizi integrati/multiservizi";"Accordo di rinnovo";"Aziende di Servizi";"ANIP CONFINDUSTRIA; LEGACOOP PRODUZIONE E SERVIZI; CONFCOOPERATIVE LAVORO E SERVIZI; AGCI SERVIZI DI LAVORO; UNIONSERVIZI CONFAPI; FILCAMS CGIL; FISASCAT CISL; UILTRASPORTI UIL";"08/06/2021";"08/06/2021";"";"31/12/2024";"PULIZIA: Imprese"
