Titolo;Tipologia accordo;Settore;Contraenti;Data stipula;Data decorrenza;Data scadenza economica;Data scadenza contrattuale;Categoria
"CCNL per i dipendenti delle piccole e medie industrie esercenti la produzione del cemento, del fibro-cemento, della calce e del gesso";"Testo definitivo";"Edilizia";"CONFIMPRESEITALIA;CONFIMPRESE EDILIZIA;ACS ASSOCIAZIONE COOPERATIVE DI SERVIZI;CSE CONFEDERAZIONE INDIPENDENTE SINDACATI EUROPEI;CSE FNILAPMI;CSE FNLEL;CSE COOP;CSE FNILASU;CSE FNLEI;CSE DIR";"22/12/2011";"01/01/2012";"31/12/2013";"31/12/2015";"CEMENTO, CALCE, GESSO: P.M.I. - CSE"
"CCNL per i dipendenti delle aziende operanti nel settore della Comunicazione e dei servizi innovativi per le imprese";"Verbale Integrativo";"Poligrafici e Spettacolo";"ASSOLOMBARDA;SLC CGIL;FISTEL CISL;UILCOM UIL";"30/01/2013";"";"";"";"COMUNICAZIONE D'IMPRESA"
"CCNL per i dipendenti di agenzie di sicurezza sussidiaria non armata, sicurezza aeroportuale degli istituti investigativi e servizi fiduciari";"Testo definitivo";"Commercio";"CEPA; SI CEL; CEPA SERVIZI; FISNALCTA UGL";"03/12/2013";"08/08/2012";"";"07/08/2015";"AGENZIE SICUREZZA SUSSIDIARIA NON ARMATA"
"CCNL per i dipendenti operanti nel settore Pubblici Esercizi - Operatori Turistici - Strutture Ricettive - Operatori Artistici - Assistenti alla Cura della Persona/Casa - Operatori in ambito Sicurezza";"Testo definitivo";"Commercio";"CONFIMPRENDITORI;USIL";"05/03/2015";"09/03/2015";"";"08/03/2018";"PUBBLICI ESERCIZI, OPERATORI TURISTICI, STRUTTURE RICETTIVE,..."
"Nuovo CCNL della mobilità";"Accordo di rinnovo";"Trasporti";"FEDERTRASPORTO;ASSTRA;ANAV;ANCP;FILT CGIL, FIT CISL;UILTRASPORTI;UGL TRASPORTI;FAISA CISAL;FAST FERROVIE;ORSA FERROVIE";"30/09/2010";"";"";"31/12/2011";"AUTOFERROTRANVIERI"
"Adesione all'accordo in tema di copertura delle spese sanitarie del personale definito il 28 aprile 2010.";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;FALBI;FIBA CISL";"22/11/2010";"";"";"";"BANCARI: Banca D'Italia - carriera Direttiva"
"AUTOFERROTRANVIERI: Dirigenti";"Accordo di rinnovo";"Trasporti";"FENIT;FNDAI";"13/07/2000";"01/01/2000";"31/12/2001";"31/12/2003";"AUTOFERROTRANVIERI: Dirigenti"
"CCNL per i dipendenti di Università telematiche e servizi collegati";"Testo definitivo";"Enti e Istituzioni Private";"UNIPEGASO UNIVERSITA' TELEMATICA;ANPIT;CSA CISAL UNIVERSITA';CISAL TERZIARIO;CISAL";"03/09/2013";"01/09/2013";"";"31/08/2016";"UNIVERSITA' TELEMATICHE E SERVIZI COLLEGATI"
"CCNL per lavoratori dipendenti domestici colf e badanti";"Testo definitivo";"Commercio";"CAPIMED;FENAILP;CUB;FENALCA";"09/11/2011";"01/07/2011";"";"31/12/2013";"Domestici Colf e Badanti"
"Accordo Economico Collettivo per la disciplina del rapporto di Agenzia e rappresentanza commerciale del settore del commercio Testo Unico 16 febbraio 2009";"Testo definitivo";"Commercio";"CONFCOMMERCIO;CONFCOOPERATIVE;CONFESERCENTI;FNAARC;FILCAMS CGIL;FISASCAT CISL;UILTUCS UIL;FIARC CONFESERCENTI;UGL TERZIARIO;USARCI";"16/02/2009";"01/03/2009";"";"29/02/2012";"AGENTI DI COMMERCIO (Sett. Commercio)"
"Sottoscrizione per adesione dell'Accordo 4 aprile 2013 di rinnovo del CCNL per gli addetti all'industria Chimica-Farmaceutica Settore Coibentazioni Termiche Acustiche";"Verbale integrativo";"Chimici";"ANICTA; UGL CHIMICI";"17/04/2013";"01/01/2013";"";"31/12/2015";"COIBENTAZIONI TERMICHE ACUSTICHE"
"Accordo negoziale in tema di Convenzione per i diritti sindacali";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;UILCA UIL";"16/12/2010";"";"";"";"BANCARI: Banca D'Italia - carriera Operativa"
"CCNL per i dipendenti dalle imprese artigiane esercenti l'attività di escavazione, trivellazione e lavorazione dei materiali lapidei";"Testo definitivo";"Edilizia";"CONFIMPRESEITALIA;CONFIMPRESE EDILIZIA;ACS;CSE;CSE FNILAPMI;CSE FNLEI;CSE DIR;CSE COOP;CSE FNILASU;CSE FNILEL";"22/12/2011";"30/12/2011";"";"29/12/2015";"LAPIDEI (Estr. e Lavoraz.): imprese artigiane (CONFIMPRESEITALIA-ACS-CSE)"
"Accordo economico collettivo per la disciplina del rapporto di agenzia e rappresentanza commerciale del settore artigiano";"Testo definitivo";"Commercio";"CIDEC;UGIFAI";"10/07/2013";"01/07/2013";"";"30/06/2016";"AGENZIA E RAPPRESENTANZA SETTORE ARTIGIANO (Cidec-Ugifai)"
"Accordo economico collettivo per la disciplina del rapporto di agenzia e rappresentanza commerciale del settore ARTIGIANO";"Testo definitivo";"Commercio";"FAPI;UGIFAI";"18/10/2013";"18/10/2013";"";"30/09/2016";"AGENZIA E RAPPRESENTANZA SETTORE ARTIGIANO (Fapi-Ugifai)"
"CCNL per i dipendenti delle RSA e delle altre strutture residenziali e socio-assistenziali e delle cooperative socio-sanitarie";"Testo definitivo";"Enti e Istituzioni Private";"CEPA A;CEPA SANITA';USAE;FNAOPS USAE";"06/07/2012";"06/07/2012";"";"05/07/2015";"RSA, ALTRE STRUTTURE RESIDENZIALI E SOCIO-ASSISTENZIALI, COOP. SOCIO-SANITARIE - CEPA-USAE"
"CCNL per i lavoratori addetti alla piccola e media industria metalmeccanica e alla installazione di impianti";"Testo definitivo";"Meccanici";"ALEA ITALIA;ADE ITALIA;ALEA ITALIA METALMECCANICA;ADE ITALIA METALMECCANICA";"02/09/2009";"02/09/2009";"";"31/08/2013";"METALMECCANICA: P.M.I. - Alea-Ade"
"CCNL per i dipendenti delle imprese artigiane e delle piccole e medie imprese industriali e dei consorzi artigiani costituiti anche in forma cooperativistica esercenti l'attività di produzione di laterizi, di manufatti in cotto, di manufatti in cemento e affini";"Testo definitivo";"Edilizia";"CEPA A;CEPA A COSTRUTTORI EDILI E AFFINI;CILA;LUCI;SI CEL;FNLE;CONF LAVORATORI";"26/03/2013";"26/03/2013";"";"25/03/2016";"Laterizi, manufatti in cotto, in cemento e affini"
"CCNL per gli operai agricoli e florovivaisti";"Testo definitivo";"Agricoltura";"FAGRI;ASNALI;FNA CONFSAL;SNAF FNA CONSAL";"29/09/2010";"01/10/2010";"30/09/2012";"30/09/2014";"AGRICOLTURA: Operai e Florovivaisti"
"CCNL per i dipendenti delle micro e piccole imprese esercenti attività nel settore autotrasporto, spedizione merci, logistica ed affini";"Testo definitivo";"Trasporti";"UNSIC;FAST AUTOTRASPORTO E SPEDIZIONE MERCI;FAST CAMIONISTI E AUTISTI DIPENDENTI;FAST CONFSAL;CONFSAL";"28/11/2011";"01/01/2012";"";"31/12/2014";"AUTOTRASPORTO E SPEDIZIONE MERCI (UNSIC-CONFSAL)"
"Accordo recante la disciplina pattizia attuativa in Banca d'Italia della L.146/1990 e successive modifiche";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;FISAC CGIL;SINDIRETTIVO CIDA;SIBC CISAL;FABI;UILCA UIL";"22/12/2009";"";"";"";"BANCARI: Banca D'Italia - carriera Operativa"
