type|code|description|section
CLASS|46.64.20|Commercio all'ingrosso di materiale elettrico per impianti industriali|G
CLASS|46.64.3|Commercio all'ingrosso di attrezzature per parrucchieri| palestre| solarium e centri estetici|G
CLASS|46.64.30|Commercio all'ingrosso di attrezzature per parrucchieri| palestre| solarium e centri estetici|G
CLASS|46.64.4|Commercio all'ingrosso di macchine tessili| per la lavorazione delle pelli e del cuoio| per lavanderie|G
CLASS|46.64.40|Commercio all'ingrosso di macchine tessili| per la lavorazione delle pelli e del cuoio| per lavanderie e stirerie|G
CLASS|46.64.5|Commercio all'ingrosso di macchinari per l'industria alimentare e delle bevande|G
CLASS|46.64.51|Commercio all'ingrosso di macchine e attrezzature per ristoranti e bar|G
CLASS|46.64.59|Commercio all'ingrosso di altri macchinari per l'industria alimentare e delle bevande|G
CLASS|46.64.6|Commercio all'ingrosso di macchinari e attrezzature per la pulizia|G
CLASS|46.64.60|Commercio all'ingrosso di macchinari e attrezzature per la pulizia|G
CLASS|46.64.9|Commercio all'ingrosso di altri macchinari e attrezzature n.c.a.|G
CLASS|46.64.91|Commercio all'ingrosso di strumenti e apparecchiature di misurazione|G
CLASS|46.64.92|Commercio all'ingrosso di attrazioni per parchi divertimento e parchi tematici e videogiochi|G
CLASS|46.64.99|Commercio all'ingrosso di altri macchinari e attrezzature varie n.c.a.|G
GROUP|46.7|Commercio all'ingrosso di autoveicoli| motocicli e relative parti e accessori|G
GROUP|46.71|Commercio all'ingrosso di autoveicoli|G
CLASS|46.71.1|Commercio all'ingrosso di automobili e autoveicoli leggeri|G
CLASS|46.71.10|Commercio all'ingrosso di automobili e autoveicoli leggeri|G
CLASS|46.71.2|Commercio all'ingrosso di altri autoveicoli|G
CLASS|46.71.20|Commercio all'ingrosso di altri autoveicoli|G
GROUP|46.72|Commercio all'ingrosso di parti e accessori di autoveicoli|G
CLASS|46.72.0|Commercio all'ingrosso di parti e accessori di autoveicoli|G
CLASS|46.72.00|Commercio all'ingrosso di parti e accessori di autoveicoli|G
GROUP|46.73|Commercio all'ingrosso di motocicli| parti e accessori di motocicli|G
CLASS|46.73.1|Commercio all'ingrosso di motocicli|G
CLASS|46.73.10|Commercio all'ingrosso di motocicli|G
CLASS|46.73.2|Commercio all'ingrosso di parti e accessori di motocicli|G
CLASS|46.73.20|Commercio all'ingrosso di parti e accessori di motocicli|G
GROUP|46.8|Commercio all'ingrosso specializzato di altri prodotti|G
GROUP|46.81|Commercio all'ingrosso di combustibili solidi| liquidi| gassosi e di prodotti derivati|G
CLASS|46.81.0|Commercio all'ingrosso di combustibili solidi| liquidi| gassosi e di prodotti derivati|G
CLASS|46.81.00|Commercio all'ingrosso di combustibili solidi| liquidi| gassosi e di prodotti derivati|G
GROUP|46.82|Commercio all'ingrosso di metalli e minerali metalliferi|G
CLASS|46.82.1|Commercio all'ingrosso di metalli e minerali metalliferi ferrosi|G
CLASS|46.82.10|Commercio all'ingrosso di metalli e minerali metalliferi ferrosi|G
CLASS|46.82.2|Commercio all'ingrosso di metalli e minerali metalliferi non ferrosi|G
CLASS|46.82.21|Attività di compro oro|G
CLASS|46.82.29|Commercio all'ingrosso di altri metalli e minerali metalliferi non ferrosi|G
GROUP|46.83|Commercio all'ingrosso di legname| materiali da costruzione e articoli igienico-sanitari|G
CLASS|46.83.1|Commercio all'ingrosso di legname|G
CLASS|46.83.10|Commercio all'ingrosso di legname|G
CLASS|46.83.2|Commercio all'ingrosso di materiali da costruzione|G
CLASS|46.83.21|Commercio all'ingrosso di pitture| vernici e lacche|G
CLASS|46.83.22|Commercio all'ingrosso di carta da parati e rivestimenti per pavimenti|G
CLASS|46.83.23|Commercio all'ingrosso di porte| finestre e persiane|G
CLASS|46.83.29|Commercio all'ingrosso di altri materiali da costruzione|G
CLASS|46.83.3|Commercio all'ingrosso di articoli igienico-sanitari|G
CLASS|46.83.30|Commercio all'ingrosso di articoli igienico-sanitari|G
GROUP|46.84|Commercio all'ingrosso di ferramenta| di apparecchi e accessori per impianti idraulici e di|G
CLASS|46.84.1|Commercio all'ingrosso di ferramenta|G
CLASS|46.84.10|Commercio all'ingrosso di ferramenta|G
CLASS|46.84.2|Commercio all'ingrosso di apparecchi e accessori per impianti idraulici e di riscaldamento|G
CLASS|46.84.20|Commercio all'ingrosso di apparecchi e accessori per impianti idraulici e di riscaldamento|G
GROUP|46.85|Commercio all'ingrosso di prodotti chimici|G
CLASS|46.85.0|Commercio all'ingrosso di prodotti chimici|G
CLASS|46.85.01|Commercio all'ingrosso di fertilizzanti e altri prodotti chimici per l'agricoltura|G
CLASS|46.85.02|Commercio all'ingrosso di liquidi per inalazione per sigarette elettroniche|G
CLASS|46.85.09|Commercio all'ingrosso di altri prodotti chimici|G
GROUP|46.86|Commercio all'ingrosso di altri prodotti intermedi|G
CLASS|46.86.1|Commercio all'ingrosso di materie plastiche in forme primarie e gomma|G
CLASS|46.86.10|Commercio all'ingrosso di materie plastiche in forme primarie e gomma|G
CLASS|46.86.2|Commercio all'ingrosso di fibre tessili|G
CLASS|46.86.20|Commercio all'ingrosso di fibre tessili|G
CLASS|46.86.3|Commercio all'ingrosso di articoli per imballaggio|G
CLASS|46.86.30|Commercio all'ingrosso di articoli per imballaggio|G
CLASS|46.86.9|Commercio all'ingrosso di altri prodotti intermedi n.c.a.|G
CLASS|46.86.90|Commercio all'ingrosso di altri prodotti intermedi n.c.a.|G
GROUP|46.87|Commercio all'ingrosso di rottami e cascami|G
CLASS|46.87.1|Commercio all'ingrosso di rottami e cascami metallici|G
CLASS|46.87.10|Commercio all'ingrosso di rottami e cascami metallici|G
CLASS|46.87.9|Commercio all'ingrosso di altri rottami e cascami|G
CLASS|46.87.90|Commercio all'ingrosso di altri rottami e cascami|G
GROUP|46.89|Commercio all'ingrosso specializzato di altri prodotti n.c.a.|G
CLASS|46.89.0|Commercio all'ingrosso specializzato di altri prodotti n.c.a.|G
CLASS|46.89.00|Commercio all'ingrosso specializzato di altri prodotti n.c.a.|G
GROUP|46.9|Commercio all'ingrosso non specializzato|G
GROUP|46.90|Commercio all'ingrosso non specializzato|G
CLASS|46.90.0|Commercio all'ingrosso non specializzato|G
CLASS|46.90.00|Commercio all'ingrosso non specializzato|G
DIVISION|47|Commercio al dettaglio|G
GROUP|47.1|Commercio al dettaglio non specializzato|G
GROUP|47.11|Commercio al dettaglio non specializzato con prevalenza di prodotti alimentari| bevande o|G
CLASS|47.11.0|Commercio al dettaglio non specializzato con prevalenza di prodotti alimentari| bevande o tabacchi|G
CLASS|47.11.01|Commercio al dettaglio non specializzato con prevalenza di prodotti alimentari surgelati|G
CLASS|47.11.02|Commercio al dettaglio non specializzato con prevalenza di altri prodotti alimentari| bevande o tabacchi|G
GROUP|47.12|Commercio al dettaglio non specializzato di altri prodotti|G
CLASS|47.12.1|Commercio al dettaglio non specializzato con prevalenza di apparecchiature informatiche ed|G
CLASS|47.12.10|Commercio al dettaglio non specializzato con prevalenza di apparecchiature informatiche ed elettrodomestici|G
CLASS|47.12.2|Commercio al dettaglio non specializzato con prevalenza di mobili e articoli per uso domestico|G
CLASS|47.12.20|Commercio al dettaglio non specializzato con prevalenza di mobili e articoli per uso domestico|G
CLASS|47.12.3|Commercio al dettaglio non specializzato con prevalenza di ferramenta| materiali da costruzione e|G
CLASS|47.12.30|Commercio al dettaglio non specializzato con prevalenza di ferramenta| materiali da costruzione e piante|G
CLASS|47.12.4|Commercio al dettaglio non specializzato con prevalenza di cosmetici| articoli di profumeria e|G
CLASS|47.12.40|Commercio al dettaglio non specializzato con prevalenza di cosmetici| articoli di profumeria e detersivi||G
CLASS|47.12.5|Commercio al dettaglio non specializzato con prevalenza di articoli di abbigliamento e calzature|G
CLASS|47.12.50|Commercio al dettaglio non specializzato con prevalenza di articoli di abbigliamento e calzature|G
CLASS|47.12.9|Commercio al dettaglio non specializzato di altri prodotti n.c.a.|G
CLASS|47.12.90|Commercio al dettaglio non specializzato di altri prodotti n.c.a.|G
GROUP|47.2|Commercio al dettaglio di prodotti alimentari| bevande e tabacchi|G
GROUP|47.21|Commercio al dettaglio di frutta e verdura|G
CLASS|47.21.0|Commercio al dettaglio di frutta e verdura|G
CLASS|47.21.01|Commercio al dettaglio di frutta e verdura fresca|G
CLASS|47.21.02|Commercio al dettaglio di frutta e verdura secca e conservata|G
GROUP|47.22|Commercio al dettaglio di carne e di prodotti a base di carne|G
CLASS|47.22.0|Commercio al dettaglio di carne e di prodotti a base di carne|G
CLASS|47.22.00|Commercio al dettaglio di carne e di prodotti a base di carne|G
GROUP|47.23|Commercio al dettaglio di pesce| crostacei e molluschi|G
CLASS|47.23.0|Commercio al dettaglio di pesce| crostacei e molluschi|G
CLASS|47.23.00|Commercio al dettaglio di pesce| crostacei e molluschi|G
GROUP|47.24|Commercio al dettaglio di pane| pasticceria e dolciumi|G
CLASS|47.24.1|Commercio al dettaglio di pane|G
CLASS|47.24.10|Commercio al dettaglio di pane|G
CLASS|47.24.2|Commercio al dettaglio di pasticceria e dolciumi|G
CLASS|47.24.20|Commercio al dettaglio di pasticceria e dolciumi|G
GROUP|47.25|Commercio al dettaglio di bevande|G
CLASS|47.25.0|Commercio al dettaglio di bevande|G
CLASS|47.25.00|Commercio al dettaglio di bevande|G
GROUP|47.26|Commercio al dettaglio di prodotti del tabacco|G
CLASS|47.26.0|Commercio al dettaglio di prodotti del tabacco|G
CLASS|47.26.01|Commercio al dettaglio di tabacco in qualsiasi forma|G
CLASS|47.26.02|Commercio al dettaglio di sigarette elettroniche e di liquidi per inalazione per sigarette elettroniche|G
CLASS|47.26.09|Commercio al dettaglio di altri accessori per fumatori|G
GROUP|47.27|Commercio al dettaglio di altri prodotti alimentari|G
CLASS|47.27.1|Commercio al dettaglio di latte e prodotti lattiero-caseari|G
CLASS|47.27.10|Commercio al dettaglio di latte e prodotti lattiero-caseari|G
CLASS|47.27.2|Commercio al dettaglio di caffè|G
CLASS|47.27.20|Commercio al dettaglio di caffè|G
CLASS|47.27.3|Commercio al dettaglio di integratori alimentari e prodotti dietetici|G
CLASS|47.27.30|Commercio al dettaglio di integratori alimentari e prodotti dietetici|G
CLASS|47.27.9|Commercio al dettaglio di altri prodotti alimentari n.c.a.|G
CLASS|47.27.90|Commercio al dettaglio di altri prodotti alimentari n.c.a.|G
GROUP|47.3|Commercio al dettaglio di carburanti per autotrazione|G
GROUP|47.30|Commercio al dettaglio di carburanti per autotrazione|G
CLASS|47.30.0|Commercio al dettaglio di carburanti per autotrazione|G
CLASS|47.30.00|Commercio al dettaglio di carburanti per autotrazione|G
GROUP|47.4|Commercio al dettaglio di apparecchiature informatiche e di comunicazione|G
GROUP|47.40|Commercio al dettaglio di apparecchiature informatiche e di comunicazione|G
CLASS|47.40.1|Commercio al dettaglio di computer| unità periferiche e software|G
CLASS|47.40.10|Commercio al dettaglio di computer| unità periferiche e software|G
CLASS|47.40.2|Commercio al dettaglio di apparecchiature per telecomunicazioni|G
CLASS|47.40.20|Commercio al dettaglio di apparecchiature per telecomunicazioni|G
CLASS|47.40.3|Commercio al dettaglio di apparecchiature radiotelevisive|G
CLASS|47.40.30|Commercio al dettaglio di apparecchiature radiotelevisive|G
GROUP|47.5|Commercio al dettaglio di altre attrezzature per uso domestico|G
GROUP|47.51|Commercio al dettaglio di prodotti tessili|G
CLASS|47.51.1|Commercio al dettaglio di tessuti per abbigliamento e arredamento|G
CLASS|47.51.10|Commercio al dettaglio di tessuti per abbigliamento e arredamento|G
CLASS|47.51.2|Commercio al dettaglio di filati per maglieria e merceria|G
CLASS|47.51.20|Commercio al dettaglio di filati per maglieria e merceria|G
GROUP|47.52|Commercio al dettaglio di ferramenta| materiali da costruzione| vernici e vetro|G
CLASS|47.52.1|Commercio al dettaglio di ferramenta| vernici| vetro e materiale elettrico e termoidraulico|G
CLASS|47.52.10|Commercio al dettaglio di ferramenta| vernici| vetro e materiale elettrico e termoidraulico|G
CLASS|47.52.2|Commercio al dettaglio di articoli igienico-sanitari e per riscaldamento|G
CLASS|47.52.20|Commercio al dettaglio di articoli igienico-sanitari e per riscaldamento|G
CLASS|47.52.3|Commercio al dettaglio di altri materiali da costruzione| mattoni e piastrelle|G
CLASS|47.52.31|Commercio al dettaglio di porte e finestre|G
CLASS|47.52.32|Commercio al dettaglio di altri materiali da costruzione| mattoni e piastrelle n.c.a.|G
CLASS|47.52.4|Commercio al dettaglio di attrezzature per il giardinaggio e la paesaggistica|G
CLASS|47.52.40|Commercio al dettaglio di attrezzature per il giardinaggio e la paesaggistica|G
GROUP|47.53|Commercio al dettaglio di tappeti| moquette| rivestimenti per pareti e pavimenti|G
CLASS|47.53.1|Commercio al dettaglio di tappeti e tende|G
CLASS|47.53.11|Commercio al dettaglio di tappeti e moquette|G
CLASS|47.53.12|Commercio al dettaglio di tende|G
CLASS|47.53.2|Commercio al dettaglio di rivestimenti per pareti e pavimenti|G
CLASS|47.53.20|Commercio al dettaglio di rivestimenti per pareti e pavimenti|G
GROUP|47.54|Commercio al dettaglio di elettrodomestici|G
CLASS|47.54.0|Commercio al dettaglio di elettrodomestici|G
CLASS|47.54.00|Commercio al dettaglio di elettrodomestici|G
GROUP|47.55|Commercio al dettaglio di mobili| di articoli per l'illuminazione| articoli per la tavola e altri|G
CLASS|47.55.1|Commercio al dettaglio di mobili per la casa|G
CLASS|47.55.10|Commercio al dettaglio di mobili per la casa|G
CLASS|47.55.2|Commercio al dettaglio di altri mobili|G
CLASS|47.55.20|Commercio al dettaglio di altri mobili|G
CLASS|47.55.3|Commercio al dettaglio di articoli per l'illuminazione|G
CLASS|47.55.30|Commercio al dettaglio di articoli per l'illuminazione|G
CLASS|47.55.4|Commercio al dettaglio di articoli per la tavola e la cucina|G
CLASS|47.55.40|Commercio al dettaglio di articoli per la tavola e la cucina|G
CLASS|47.55.9|Commercio al dettaglio di attrezzature per bambini e altri articoli per la casa|G
CLASS|47.55.90|Commercio al dettaglio di attrezzature per bambini e altri articoli per la casa|G
GROUP|47.6|Commercio al dettaglio di articoli culturali e ricreativi|G
GROUP|47.61|Commercio al dettaglio di libri|G
CLASS|47.61.0|Commercio al dettaglio di libri|G
CLASS|47.61.00|Commercio al dettaglio di libri|G
GROUP|47.62|Commercio al dettaglio di giornali| altre pubblicazioni periodiche e articoli di cancelleria|G
CLASS|47.62.1|Commercio al dettaglio di giornali e altre pubblicazioni periodiche|G
CLASS|47.62.10|Commercio al dettaglio di giornali e altre pubblicazioni periodiche|G
CLASS|47.62.2|Commercio al dettaglio di articoli di cancelleria|G
CLASS|47.62.20|Commercio al dettaglio di articoli di cancelleria|G
GROUP|47.63|Commercio al dettaglio di attrezzature sportive|G
CLASS|47.63.1|Commercio al dettaglio di imbarcazioni|G
CLASS|47.63.10|Commercio al dettaglio di imbarcazioni|G
CLASS|47.63.2|Commercio al dettaglio di biciclette e altre attrezzature sportive|G
CLASS|47.63.21|Commercio al dettaglio di biciclette|G
CLASS|47.63.29|Commercio al dettaglio di altre attrezzature sportive|G
GROUP|47.64|Commercio al dettaglio di giochi e giocattoli|G
CLASS|47.64.0|Commercio al dettaglio di giochi e giocattoli|G
CLASS|47.64.00|Commercio al dettaglio di giochi e giocattoli|G
GROUP|47.69|Commercio al dettaglio di articoli culturali e ricreativi n.c.a.|G
CLASS|47.69.1|Commercio al dettaglio di supporti registrati e strumenti musicali|G
CLASS|47.69.11|Commercio al dettaglio di supporti registrati|G
CLASS|47.69.12|Commercio al dettaglio di strumenti musicali|G
CLASS|47.69.2|Commercio al dettaglio di articoli di filatelia| numismatica e da collezionismo|G
CLASS|47.69.20|Commercio al dettaglio di articoli di filatelia| numismatica e da collezionismo|G
CLASS|47.69.3|Commercio al dettaglio di articoli per disegno| pittura e scultura|G
CLASS|47.69.30|Commercio al dettaglio di articoli per disegno| pittura e scultura|G
CLASS|47.69.9|Commercio al dettaglio di altri articoli culturali e ricreativi n.c.a.|G
CLASS|47.69.91|Commercio al dettaglio di opere d'arte|G
CLASS|47.69.99|Commercio al dettaglio di altri articoli vari culturali e ricreativi n.c.a.|G
GROUP|47.7|Commercio al dettaglio di altri prodotti| esclusi autoveicoli e motocicli|G
GROUP|47.71|Commercio al dettaglio di articoli di abbigliamento|G
CLASS|47.71.1|Commercio al dettaglio di articoli di abbigliamento per adulti|G
CLASS|47.71.10|Commercio al dettaglio di articoli di abbigliamento per adulti|G
CLASS|47.71.2|Commercio al dettaglio di articoli di abbigliamento per neonati e bambini|G
CLASS|47.71.20|Commercio al dettaglio di articoli di abbigliamento per neonati e bambini|G
CLASS|47.71.3|Commercio al dettaglio di articoli di biancheria intima|G
CLASS|47.71.30|Commercio al dettaglio di articoli di biancheria intima|G
CLASS|47.71.4|Commercio al dettaglio di articoli di abbigliamento in pelle e pelliccia|G
CLASS|47.71.40|Commercio al dettaglio di articoli di abbigliamento in pelle e pelliccia|G
CLASS|47.71.5|Commercio al dettaglio di accessori per l'abbigliamento|G
CLASS|47.71.50|Commercio al dettaglio di accessori per l'abbigliamento|G
GROUP|47.72|Commercio al dettaglio di calzature e articoli in pelle|G
CLASS|47.72.1|Commercio al dettaglio di calzature e accessori per calzature|G
CLASS|47.72.11|Commercio al dettaglio di calzature e accessori per calzature per adulti|G
CLASS|47.72.12|Commercio al dettaglio di calzature e accessori per calzature per neonati e bambini|G
CLASS|47.72.2|Commercio al dettaglio di articoli in pelle e articoli da viaggio|G
CLASS|47.72.20|Commercio al dettaglio di articoli in pelle e articoli da viaggio|G
GROUP|47.73|Commercio al dettaglio di prodotti farmaceutici|G
CLASS|47.73.1|Commercio al dettaglio di medicinali soggetti a prescrizione medica|G
CLASS|47.73.10|Commercio al dettaglio di medicinali soggetti a prescrizione medica|G
CLASS|47.73.2|Commercio al dettaglio di rimedi erboristici|G
CLASS|47.73.20|Commercio al dettaglio di rimedi erboristici|G
CLASS|47.73.9|Commercio al dettaglio di altri prodotti farmaceutici|G
CLASS|47.73.90|Commercio al dettaglio di altri prodotti farmaceutici|G
GROUP|47.74|Commercio al dettaglio di articoli medicali e ortopedici|G
CLASS|47.74.0|Commercio al dettaglio di articoli medicali e ortopedici|G
CLASS|47.74.01|Commercio al dettaglio di occhiali e lenti|G
CLASS|47.74.09|Commercio al dettaglio di altri articoli medicali e ortopedici|G
GROUP|47.75|Commercio al dettaglio di cosmetici e di articoli di profumeria|G
CLASS|47.75.0|Commercio al dettaglio di cosmetici e di articoli di profumeria|G
CLASS|47.75.00|Commercio al dettaglio di cosmetici e di articoli di profumeria|G
GROUP|47.76|Commercio al dettaglio di fiori| piante| fertilizzanti| animali da compagnia e alimenti per|G
CLASS|47.76.1|Commercio al dettaglio di fiori| piante e fertilizzanti|G
CLASS|47.76.10|Commercio al dettaglio di fiori| piante e fertilizzanti|G
CLASS|47.76.2|Commercio al dettaglio di animali da compagnia e alimenti per animali da compagnia|G
CLASS|47.76.20|Commercio al dettaglio di animali da compagnia e alimenti per animali da compagnia|G
GROUP|47.77|Commercio al dettaglio di orologi e articoli di gioielleria|G
CLASS|47.77.0|Commercio al dettaglio di orologi e articoli di gioielleria|G
CLASS|47.77.00|Commercio al dettaglio di orologi e articoli di gioielleria|G
GROUP|47.78|Commercio al dettaglio di altri prodotti non di seconda mano|G
CLASS|47.78.1|Commercio al dettaglio di articoli per fotografia e ottica|G
CLASS|47.78.10|Commercio al dettaglio di articoli per fotografia e ottica|G
CLASS|47.78.2|Commercio al dettaglio di souvenir| articoli di artigianato| articoli religiosi| bigiotteria e|G
CLASS|47.78.21|Commercio al dettaglio di souvenir|G
CLASS|47.78.22|Commercio al dettaglio di articoli di artigianato|G
CLASS|47.78.23|Commercio al dettaglio di articoli religiosi|G
CLASS|47.78.24|Commercio al dettaglio di bigiotteria|G
CLASS|47.78.25|Commercio al dettaglio di bomboniere|G
CLASS|47.78.3|Commercio al dettaglio di combustibile per uso domestico| bombole di gas| carbone e legna da|G
CLASS|47.78.30|Commercio al dettaglio di combustibile per uso domestico| bombole di gas| carbone e legna da ardere|G
CLASS|47.78.4|Commercio al dettaglio di prodotti per la pulizia|G
CLASS|47.78.40|Commercio al dettaglio di prodotti per la pulizia|G
CLASS|47.78.9|Commercio al dettaglio di altri prodotti non di seconda mano n.c.a.|G
CLASS|47.78.91|Commercio al dettaglio di articoli per imballaggio|G
CLASS|47.78.92|Commercio al dettaglio di articoli funerari e cimiteriali|G
CLASS|47.78.93|Commercio al dettaglio di articoli per adulti|G
CLASS|47.78.99|Commercio al dettaglio di altri prodotti vari non di seconda mano n.c.a.|G
GROUP|47.79|Commercio al dettaglio di articoli di seconda mano|G
CLASS|47.79.1|Commercio al dettaglio di libri di seconda mano|G
CLASS|47.79.10|Commercio al dettaglio di libri di seconda mano|G
CLASS|47.79.2|Commercio al dettaglio di oggetti di antiquariato e mobili di seconda mano|G
CLASS|47.79.20|Commercio al dettaglio di oggetti di antiquariato e mobili di seconda mano|G
CLASS|47.79.3|Commercio al dettaglio di articoli di abbigliamento e altri articoli di seconda mano|G
CLASS|47.79.31|Commercio al dettaglio di articoli di abbigliamento di seconda mano|G
CLASS|47.79.32|Commercio al dettaglio di orologi e articoli di gioielleria di seconda mano|G
CLASS|47.79.39|Commercio al dettaglio di altri articoli di seconda mano n.c.a.|G
GROUP|47.8|Commercio al dettaglio di autoveicoli| motocicli e relative parti e accessori|G
GROUP|47.81|Commercio al dettaglio di autoveicoli|G
CLASS|47.81.1|Commercio al dettaglio di automobili e autoveicoli leggeri|G
CLASS|47.81.10|Commercio al dettaglio di automobili e autoveicoli leggeri|G
CLASS|47.81.2|Commercio al dettaglio di altri autoveicoli|G
CLASS|47.81.20|Commercio al dettaglio di altri autoveicoli|G
GROUP|47.82|Commercio al dettaglio di parti e accessori di autoveicoli|G
CLASS|47.82.0|Commercio al dettaglio di parti e accessori di autoveicoli|G
CLASS|47.82.00|Commercio al dettaglio di parti e accessori di autoveicoli|G
GROUP|47.83|Commercio al dettaglio di motocicli| parti e accessori di motocicli|G
CLASS|47.83.1|Commercio al dettaglio di motocicli|G
CLASS|47.83.10|Commercio al dettaglio di motocicli|G
CLASS|47.83.2|Commercio al dettaglio di parti e accessori di motocicli|G
CLASS|47.83.20|Commercio al dettaglio di parti e accessori di motocicli|G
GROUP|47.9|Attività di servizi di intermediazione per il commercio al dettaglio|G
GROUP|47.91|Attività di servizi di intermediazione per il commercio al dettaglio non specializzato|G
CLASS|47.91.1|Attività di servizi di intermediazione per il commercio al dettaglio non specializzato di articoli di|G
CLASS|47.91.10|Attività di servizi di intermediazione per il commercio al dettaglio non specializzato di articoli di seconda|G
CLASS|47.91.2|Attività di servizi di intermediazione per il commercio al dettaglio non specializzato di prodotti|G
CLASS|47.91.20|Attività di servizi di intermediazione per il commercio al dettaglio non specializzato di prodotti nuovi|G
GROUP|47.92|Attività di servizi di intermediazione per il commercio al dettaglio specializzato|G
CLASS|47.92.1|Attività di servizi di intermediazione per il commercio al dettaglio specializzato di prodotti|G
CLASS|47.92.10|Attività di servizi di intermediazione per il commercio al dettaglio specializzato di prodotti alimentari e|G
CLASS|47.92.2|Attività di servizi di intermediazione per il commercio al dettaglio specializzato di articoli di|G
CLASS|47.92.21|Attività di servizi di intermediazione per il commercio al dettaglio specializzato di autoveicoli e motocicli di|G
CLASS|47.92.22|Attività di servizi di intermediazione per il commercio al dettaglio specializzato di parti e accessori di|G
CLASS|47.92.29|Attività di servizi di intermediazione per il commercio al dettaglio specializzato di altri articoli di seconda|G
CLASS|47.92.3|Attività di servizi di intermediazione per il commercio al dettaglio specializzato di prodotti nuovi|G
CLASS|47.92.31|Attività di servizi di intermediazione per il commercio al dettaglio specializzato di autoveicoli| esclusi articoli|G
CLASS|47.92.32|Attività di servizi di intermediazione per il commercio al dettaglio specializzato di parti e accessori di|G
CLASS|47.92.33|Attività di servizi di intermediazione per il commercio al dettaglio specializzato di motocicli| parti e accessori|G
CLASS|47.92.34|Attività di servizi di intermediazione per il commercio al dettaglio specializzato di elettrodomestici e altri|G
CLASS|47.92.35|Attività di servizi di intermediazione per il commercio al dettaglio specializzato di prodotti tessili| articoli di|G
CLASS|47.92.36|Attività di servizi di intermediazione per il commercio al dettaglio specializzato di cosmetici e di articoli di|G
CLASS|47.92.39|Attività di servizi di intermediazione per il commercio al dettaglio specializzato di prodotti nuovi n.c.a.|G
SECTION|H|TRASPORTO E MAGAZZINAGGIO
DIVISION|49|Trasporto terrestre e trasporto mediante condotte|H
GROUP|49.1|Trasporto ferroviario di passeggeri|H
GROUP|49.11|Trasporto di passeggeri su ferrovia pesante|H
CLASS|49.11.0|Trasporto di passeggeri su ferrovia pesante|H
CLASS|49.11.00|Trasporto di passeggeri su ferrovia pesante|H
GROUP|49.12|Altri trasporti ferroviari di passeggeri|H
CLASS|49.12.0|Altri trasporti ferroviari di passeggeri|H
CLASS|49.12.00|Altri trasporti ferroviari di passeggeri|H
GROUP|49.2|Trasporto ferroviario di merci|H
GROUP|49.20|Trasporto ferroviario di merci|H
CLASS|49.20.0|Trasporto ferroviario di merci|H
CLASS|49.20.00|Trasporto ferroviario di merci|H
GROUP|49.3|Altri trasporti terrestri di passeggeri|H
GROUP|49.31|Trasporto di linea di passeggeri su strada|H
CLASS|49.31.0|Trasporto di linea di passeggeri su strada|H
CLASS|49.31.01|Trasporto di linea di passeggeri su strada specializzato per visite turistiche|H
CLASS|49.31.02|Altri trasporti di linea di passeggeri su strada|H
GROUP|49.32|Trasporto non di linea di passeggeri su strada|H
CLASS|49.32.0|Trasporto non di linea di passeggeri su strada|H
CLASS|49.32.01|Trasporto non di linea di passeggeri su strada specializzato per visite turistiche|H
CLASS|49.32.02|Altri trasporti non di linea di passeggeri su strada|H
GROUP|49.33|Trasporto di passeggeri a richiesta su veicoli con conducente|H
CLASS|49.33.1|Trasporto su taxi|H
CLASS|49.33.10|Trasporto su taxi|H
CLASS|49.33.2|Trasporto su veicoli a noleggio con conducente|H
CLASS|49.33.20|Trasporto su veicoli a noleggio con conducente|H
GROUP|49.34|Trasporto di passeggeri mediante funivie e sciovie|H
CLASS|49.34.0|Trasporto di passeggeri mediante funivie e sciovie|H
CLASS|49.34.00|Trasporto di passeggeri mediante funivie e sciovie|H
GROUP|49.39|Altri trasporti terrestri di passeggeri n.c.a.|H
CLASS|49.39.0|Altri trasporti terrestri di passeggeri n.c.a.|H
CLASS|49.39.00|Altri trasporti terrestri di passeggeri n.c.a.|H
GROUP|49.4|Trasporto di merci su strada e servizi di trasloco|H
GROUP|49.41|Trasporto di merci su strada|H
CLASS|49.41.0|Trasporto di merci su strada|H
CLASS|49.41.00|Trasporto di merci su strada|H
GROUP|49.42|Servizi di trasloco|H
CLASS|49.42.0|Servizi di trasloco|H
CLASS|49.42.00|Servizi di trasloco|H
GROUP|49.5|Trasporto mediante condotte|H
GROUP|49.50|Trasporto mediante condotte|H
CLASS|49.50.1|Trasporto mediante condotte di gas|H
CLASS|49.50.10|Trasporto mediante condotte di gas|H
CLASS|49.50.2|Trasporto mediante condotte di liquidi|H
CLASS|49.50.20|Trasporto mediante condotte di liquidi|H
DIVISION|50|Trasporto marittimo e per vie d'acqua interne|H
GROUP|50.1|Trasporto marittimo e costiero di passeggeri|H
GROUP|50.10|Trasporto marittimo e costiero di passeggeri|H
CLASS|50.10.0|Trasporto marittimo e costiero di passeggeri|H
CLASS|50.10.00|Trasporto marittimo e costiero di passeggeri|H
GROUP|50.2|Trasporto marittimo e costiero di merci|H
GROUP|50.20|Trasporto marittimo e costiero di merci|H
CLASS|50.20.0|Trasporto marittimo e costiero di merci|H
CLASS|50.20.00|Trasporto marittimo e costiero di merci|H
GROUP|50.3|Trasporto per vie d'acqua interne di passeggeri|H
GROUP|50.30|Trasporto per vie d'acqua interne di passeggeri|H
