type|code|description|section
GROUP|08.92|Estrazione di torba|B
CLASS|08.92.0|Estrazione di torba|B
CLASS|08.92.00|Estrazione di torba|B
GROUP|08.93|Estrazione di sale|B
CLASS|08.93.0|Estrazione di sale|B
CLASS|08.93.01|Estrazione di sale dal sottosuolo|B
CLASS|08.93.02|Salicoltura marina|B
CLASS|08.93.03|Produzione di sale da salamoia|B
GROUP|08.99|Altre attività estrattive n.c.a.|B
CLASS|08.99.0|Altre attività estrattive n.c.a.|B
CLASS|08.99.01|Estrazione di asfalto e bitume naturale|B
CLASS|08.99.09|Altre attività estrattive varie n.c.a.|B
DIVISION|09|Attività dei servizi di supporto all'estrazione|B
GROUP|09.1|Attività di supporto all'estrazione di petrolio e gas naturale|B
GROUP|09.10|Attività di supporto all'estrazione di petrolio e gas naturale|B
CLASS|09.10.0|Attività di supporto all'estrazione di petrolio e gas naturale|B
CLASS|09.10.00|Attività di supporto all'estrazione di petrolio e gas naturale|B
GROUP|09.9|Attività di supporto ad altre attività estrattive|B
GROUP|09.90|Attività di supporto ad altre attività estrattive|B
CLASS|09.90.0|Attività di supporto ad altre attività estrattive|B
CLASS|09.90.00|Attività di supporto ad altre attività estrattive|B
SECTION|C|ATTIVITÀ MANIFATTURIERE
DIVISION|10|Produzione di prodotti alimentari|C
GROUP|10.1|Lavorazione e conservazione di carne e produzione di prodotti a base di carne|C
GROUP|10.11|Lavorazione e conservazione di carne| esclusa la carne di volatili|C
CLASS|10.11.0|Lavorazione e conservazione di carne| esclusa la carne di volatili|C
CLASS|10.11.00|Lavorazione e conservazione di carne| esclusa la carne di volatili|C
GROUP|10.12|Lavorazione e conservazione di carne di volatili|C
CLASS|10.12.0|Lavorazione e conservazione di carne di volatili|C
CLASS|10.12.00|Lavorazione e conservazione di carne di volatili|C
GROUP|10.13|Produzione di prodotti a base di carne| inclusi prodotti a base di carne di volatili|C
CLASS|10.13.0|Produzione di prodotti a base di carne| inclusi prodotti a base di carne di volatili|C
CLASS|10.13.00|Produzione di prodotti a base di carne| inclusi prodotti a base di carne di volatili|C
GROUP|10.2|Lavorazione e conservazione di pesce| crostacei e molluschi|C
GROUP|10.20|Lavorazione e conservazione di pesce| crostacei e molluschi|C
CLASS|10.20.0|Lavorazione e conservazione di pesce| crostacei e molluschi|C
CLASS|10.20.01|Lavorazione di alghe|C
CLASS|10.20.09|Altre attività di lavorazione e conservazione di pesce| crostacei e molluschi|C
GROUP|10.3|Lavorazione e conservazione di frutta e ortaggi|C
GROUP|10.31|Lavorazione e conservazione di patate|C
CLASS|10.31.0|Lavorazione e conservazione di patate|C
CLASS|10.31.00|Lavorazione e conservazione di patate|C
GROUP|10.32|Produzione di succhi a base di frutta e ortaggi|C
CLASS|10.32.0|Produzione di succhi a base di frutta e ortaggi|C
CLASS|10.32.00|Produzione di succhi a base di frutta e ortaggi|C
GROUP|10.39|Altre attività di lavorazione e conservazione di frutta e ortaggi|C
CLASS|10.39.0|Altre attività di lavorazione e conservazione di frutta e ortaggi|C
CLASS|10.39.00|Altre attività di lavorazione e conservazione di frutta e ortaggi|C
GROUP|10.4|Produzione di oli e grassi vegetali e animali|C
GROUP|10.41|Produzione di oli e grassi|C
CLASS|10.41.1|Produzione di olio di oliva|C
CLASS|10.41.10|Produzione di olio di oliva|C
CLASS|10.41.2|Produzione di altri oli vegetali|C
CLASS|10.41.20|Produzione di altri oli vegetali|C
CLASS|10.41.3|Produzione di oli e grassi animali|C
CLASS|10.41.30|Produzione di oli e grassi animali|C
GROUP|10.42|Produzione di margarina e di grassi alimentari simili|C
CLASS|10.42.0|Produzione di margarina e di grassi alimentari simili|C
CLASS|10.42.00|Produzione di margarina e di grassi alimentari simili|C
GROUP|10.5|Produzione di prodotti lattiero-caseari e gelati|C
GROUP|10.51|Produzione di prodotti lattiero-caseari|C
CLASS|10.51.1|Trattamento igienico del latte|C
CLASS|10.51.10|Trattamento igienico del latte|C
CLASS|10.51.2|Produzione di derivati del latte|C
CLASS|10.51.20|Produzione di derivati del latte|C
GROUP|10.52|Produzione di gelati|C
CLASS|10.52.0|Produzione di gelati|C
CLASS|10.52.00|Produzione di gelati|C
